"key","time","date","site","transect","flight_time","depth","heading","temp","groundSpeed","lat","lon","DVLx","DVLy","altitude","seq","DVLlat","DVLlon","EucDIS","width","height","area"
"7_3","13:28:37","9/6/2023",7,3,"00:15:09",-9.02208,106,55.31,0.1,0,0,-154.2,243.7,0.79,151.083333333333,47.6170014994475,-122.359130141912,0.179036192678158,2.21507830527261,0.968225245261093,2.1446947353951
"7_3","13:28:45","9/6/2023",7,3,"00:15:17",-8.9916,107,55.31,0.1,0,0,-155.4,246.1,0.7,151.216666666667,47.6169971875926,-122.359117348544,0.0895181029111721,1.96272761226687,0.857921103395905,1.6838654387816
"7_3","13:28:53","9/6/2023",7,3,"00:15:25",-8.8392,106,55.33,0.1,0,0,-157.1,247.5,0.87,151.35,47.6169910791315,-122.359109885745,0.1442960075197,2.43939003238882,1.06627337136348,2.6010566339057
"7_3","13:29:01","9/6/2023",7,3,"00:15:33",-8.86968,106,55.33,0.1,0,0,-158.7,248.3,0.86,151.483333333333,47.6169853299916,-122.359105621289,0.0798710495394273,2.4113510664993,1.05401735560068,2.54160587453648
"8_1","14:44:56","9/12/2023",8,1,"00:06:48",-10.30224,53,56.01,0,0,0,-1.2,-5.3,0.9,7.31666666666667,47.5891844593212,-122.343257801695,0.0565638016442631,2.5235069300574,1.10304141865188,2.78353266410836
"8_1","14:45:04","9/12/2023",8,1,"00:06:56",-10.24128,46,55.98,0.1,0,0,0.1,-3.5,0.76,7.45,47.5891891304974,-122.343248211864,0.126635259759781,2.13096140760403,0.931457197972697,1.9848993417148
"8_1","14:45:12","9/12/2023",8,1,"00:07:04",-10.2108,40,55.96,0.1,0,0,0.7,-1.6,0.56,7.58333333333333,47.5891912864248,-122.343238089265,0.113127598094214,1.5701820898135,0.686336882716724,1.07767388082023
"8_1","14:45:20","9/12/2023",8,1,"00:07:12",-10.18032,43,55.98,0,0,0,1.1,-0.9,0.51,7.71666666666667,47.5891927237098,-122.343234359887,0.0565637976848295,1.42998726036586,0.625056803902731,0.893823266585908
"8_1","14:45:28","9/12/2023",8,1,"00:07:20",-10.2108,39,55.96,0,0,0,1.7,-0.4,0.44,7.85,47.5891948796373,-122.343231696045,0.0399353883705982,1.23371449913918,0.53926469356314,0.66529867132269
"8_1","14:45:36","9/12/2023",8,1,"00:07:28",-9.96696,38,55.92,0.1,0,0,2,0.2,0.65,7.98333333333333,47.589195957601,-122.343228499435,0.0798707776990877,1.82253278281924,0.796641024581912,1.45190438343924
"8_1","14:45:44","9/12/2023",8,1,"00:07:36",-9.78408,38,55.96,0.1,0,0,2.9,1.5,0.69,8.11666666666667,47.5891991914922,-122.343221573446,0.0895172924467896,1.93468864637734,0.845665087633106,1.63609864368147
"8_1","14:45:52","9/12/2023",8,1,"00:07:44",-9.54024,37,55.96,0.1,0,0,5.5,3.9,0.65,8.25,47.5892085338445,-122.343208787005,0.144294783405725,1.82253278281924,0.796641024581912,1.45190438343924
